Clapeyron Database File,,,,,,,,,,,,,
SAFTVRMie Parameters [csvtype = like, grouptype = unknown],,,,,,,,,,,,
species,Mw,segment,sigma,lambda_a,lambda_r,epsilon,n_e,n_H,epsilon_assoc,bondvol,,,
1,32.042,1.6177655023122848,3.3383639973071957,6,29.999999999997964,374.3814624270902,2,1,1744.5938725675605,2.187004185673498e-28,,Picture,Picture
2,32.042,1.2327532073864047,3.535796492440618,6,13.548221024176097,396.08685925577606,2,1,2305.755544780235,1.1687690624786806e-29,,Picture,Picture
3,32.042,1.8122342134167249,3.935464397,6,23.190617281629265,279.3688491355615,2,1,2305.755544780235,1.1687690624786806e-29,,Picture,Picture
2.1,32.042,1.5606579767385194,4.126594805910999,6,20.932480598493527,275.7385782425247,2,1,2979.8925817423074,1.987520574802216e-28,,Picture,Picture
2.2,32.042,1.5606579767385194,4.126594805910999,6,20.932480598493527,275.7385782425247,2,1,2979.8925817423074,1.987520574802216e-28,,,
3.1,32.042,4.2340571853398625,4.407695729666502,6,15.493313778505204,332.73014690080294,2,1,3315.6994297943907,3.595303400912172e-28,,Picture,Picture
3.2,32.042,4.2340571853398625,4.407695729666502,6,15.493313778505204,332.73014690080294,2,1,3315.6994297943907,3.595303400912172e-28,,Picture,Picture
4,32.042,2.6027973330535072,3.174835218787608,6,15.996760048319583,363.4555153,2,1,2788.582835646741,2.1046662301866287e-29,,Picture,Picture
4.1,32.042,1.7148937547091783,3.8685320093108606,6,13.39463821418754,437.2765991483608,2,1,1174.7508117575628,1.095369233774855e-29,,Picture,Picture
4.2,32.042,4.449512167044134,3.2202740119619913,6,8.601183052,388.0911911719785,2,1,2886.785644996989,4.708980388150961e-28,,Picture,Picture
,,,,,,,,,,,,,
5,86.18,2.299414848887489,4.266539999117265,6,14.847557700437372,316.28115574973435,0,0,0,0,,Picture,Picture
6,86.18,1.8949193125221524,3.6065941657587306,6,13.186963313445908,434.6523311677793,0,0,0,0,,Picture,Picture
