Clapeyron Estimator,,
[method=saturation_p, species=butane],
T,out_P,
134.895,6.66E-01,
139.895,1.66E+00,
144.895,3.86E+00,
149.895,8.44E+00,
154.895,1.74E+01,
159.895,3.41E+01,
164.895,6.39E+01,
169.895,114.7909752,
174.895,198.4219299,
179.895,331.2881602,
184.895,535.8664221,
189.895,841.9798839,
194.895,1288.190624,
199.895,1923.200828,
204.895,2807.21328,
209.895,4013.203905,
214.895,5628.064382,
219.895,7753.58064,
224.895,10507.2222,
229.895,14022.72722,
234.895,18450.47771,
239.895,23957.66828,
244.895,30728.2792,
249.895,38962.87072,
254.895,48878.22002,
259.895,60706.82494,
264.895,74696.30032,
269.895,91108.69329,
274.895,110219.7431,
279.895,132318.1103,
284.895,157704.5987,
289.895,186691.3911,
294.895,219601.3201,
299.895,256767.1918,
304.895,298531.181,
309.895,345244.3151,
314.895,397266.0666,
319.895,454964.0753,
324.895,518714.0291,
329.895,588899.7374,
334.895,665913.4365,
339.895,750156.3627,
344.895,842039.6162,
349.895,941985.3328,
354.895,1050428.197,
359.895,1167817.384,
364.895,1294619.109,
369.895,1431320.074,
374.895,1578432.191,
379.895,1736499.115,
384.895,1906105.246,
