Clapeyron Estimator,
[method=saturation_rhol, species=butane]
T,out_rhol
134.895,12645.06213
139.895,12564.77796
144.895,12484.60396
149.895,12404.48825
154.895,12324.38567
159.895,12244.25551
164.895,12164.05989
169.895,12083.76263
174.895,12003.32837
179.895,11922.72199
184.895,11841.90809
189.895,11760.85069
194.895,11679.51292
199.895,11597.85678
204.895,11515.84293
209.895,11433.43056
214.895,11350.57713
219.895,11267.23827
224.895,11183.36758
229.895,11098.9164
234.895,11013.83365
239.895,10928.06558
244.895,10841.5555
249.895,10754.24351
254.895,10666.06618
259.895,10576.95615
264.895,10486.84174
269.895,10395.64644
274.895,10303.28837
279.895,10209.67964
284.895,10114.72557
289.895,10018.3239
294.895,9920.363686
299.895,9820.724157
304.895,9719.273271
309.895,9615.866015
314.895,9510.342352
319.895,9402.524726
324.895,9292.215004
329.895,9179.190681
334.895,9063.200143
339.895,8943.956659
344.895,8821.130683
349.895,8694.339845
354.895,8563.135726
359.895,8426.98611
364.895,8285.250665
369.895,8137.14687
374.895,7981.700932
379.895,7817.67468
384.895,7643.452346
