Clapeyron Estimator,
[method=saturation_p, species=decane]
T,out_P
243.5,1.404181565
248.5,2.441380798
253.5,4.136258599
258.5,6.839770802
263.5,11.05562478
268.5,17.49158181
273.5,27.12250406
278.5,41.26625982
283.5,61.67334304
288.5,90.63071074
293.5,131.0799716
298.5,186.7496007
303.5,262.300402
308.5,363.4830065
313.5,497.3057343
318.5,672.2108021
323.5,898.2565169
328.5,1187.302882
333.5,1553.197897
338.5,2011.961769
343.5,2581.96632
348.5,3284.106982
353.5,4141.964979
358.5,5181.957597
363.5,6433.474701
368.5,7929.000095
373.5,9704.216614
378.5,11798.0943
383.5,14252.96132
388.5,17114.55773
393.5,20432.07245
398.5,24258.16421
403.5,28648.96736
408.5,33664.08401
413.5,39366.56369
418.5,45822.87237
423.5,53102.85254
428.5,61279.6763
433.5,70429.79342
438.5,80632.87642
443.5,91971.76503
448.5,104532.4119
453.5,118403.8319
458.5,133678.0578
463.5,150450.1037
468.5,168817.9398
473.5,188882.4799
478.5,210747.5854
483.5,234520.0877
488.5,260309.8334
493.5,288229.7539
498.5,318395.9654
503.5,350927.902
508.5,385948.4884
513.5,423584.3579
518.5,463966.1235
523.5,507228.7111
528.5,553511.7675
533.5,602960.157
538.5,655724.5676
543.5,711962.2503
548.5,771837.9292
553.5,835524.9253
