Clapeyron Estimator,
[method=saturation_rhol, species=decane]
T,out_rhol
243.5,5406.416906
248.5,5378.537347
253.5,5350.766114
258.5,5323.090657
263.5,5295.498895
268.5,5267.979166
273.5,5240.520178
278.5,5213.110965
283.5,5185.740845
288.5,5158.39938
293.5,5131.076338
298.5,5103.76166
303.5,5076.445427
308.5,5049.117825
313.5,5021.769115
318.5,4994.389603
323.5,4966.96961
328.5,4939.49944
333.5,4911.969357
338.5,4884.369547
343.5,4856.690095
348.5,4828.92095
353.5,4801.051894
358.5,4773.072512
363.5,4744.972154
368.5,4716.739901
373.5,4688.364525
378.5,4659.834452
383.5,4631.13771
388.5,4602.261892
393.5,4573.194094
398.5,4543.920868
403.5,4514.428152
408.5,4484.701207
413.5,4454.724542
418.5,4424.481828
423.5,4393.955808
428.5,4363.128189
433.5,4331.97953
438.5,4300.489109
443.5,4268.634775
448.5,4236.392776
453.5,4203.737574
458.5,4170.641619
463.5,4137.075099
468.5,4103.005652
473.5,4068.398026
478.5,4033.213686
483.5,3997.410359
488.5,3960.941491
493.5,3923.755615
498.5,3885.795586
503.5,3846.997681
508.5,3807.290502
513.5,3766.593656
518.5,3724.816132
523.5,3681.854307
528.5,3637.589462
533.5,3591.884663
538.5,3544.580795
543.5,3495.491459
548.5,3444.39632
553.5,3391.032277
