Clapeyron Estimator,
[method=saturation_p, species=ethane]
T,out_P
90.368,1.1421
95.368,3.9547
100.37,11.973
105.37,32.325
110.37,79.103
115.37,177.78
120.37,371.05
125.37,725.76
130.37,1340.8
135.37,2355.4
140.37,3956.3
145.37,6385.8
150.37,9946.3
155.37,15005
160.37,21996
165.37,31422
170.37,43849
175.37,59912
180.37,80303
185.37,105770
190.37,137120
195.37,175190
200.37,220880
205.37,275100
210.37,338830
215.37,413050
220.37,498770
225.37,597030
230.37,708900
235.37,835470
240.37,977830
245.37,1137100
250.37,1314500
255.37,1511300
260.37,1728600
265.37,1967700
270.37,2230100
275.37,2517300
