Clapeyron Estimator,
[method=saturation_rhol, species=ethane]
T,out_rhol
90.368,21668
95.368,21485
100.37,21302
105.37,21120
110.37,20938
115.37,20754
120.37,20571
125.37,20386
130.37,20201
135.37,20014
140.37,19827
145.37,19637
150.37,19447
155.37,19254
160.37,19060
165.37,18864
170.37,18665
175.37,18464
180.37,18260
185.37,18053
190.37,17842
195.37,17628
200.37,17410
205.37,17187
210.37,16959
215.37,16726
220.37,16487
225.37,16241
230.37,15987
235.37,15726
240.37,15454
245.37,15173
250.37,14878
255.37,14570
260.37,14245
265.37,13900
270.37,13531
275.37,13132
