Clapeyron Estimator,
[method=saturation_rhol, species=heptane]
T,out_rhol
272.55,6996.210015
277.55,6954.598956
282.55,6912.843705
287.55,6870.925444
292.55,6828.8252
297.55,6786.523784
302.55,6744.00173
307.55,6701.23922
312.55,6658.216019
317.55,6614.911389
322.55,6571.304013
327.55,6527.371897
332.55,6483.092276
337.55,6438.441508
342.55,6393.394953
347.55,6347.926852
352.55,6302.010178
357.55,6255.616482
362.55,6208.715721
367.55,6161.276055
372.55,6113.26363
377.55,6064.642321
382.55,6015.373455
387.55,5965.415472
392.55,5914.723558
397.55,5863.249201
402.55,5810.939688
407.55,5757.737513
412.55,5703.579668
417.55,5648.396819
422.55,5592.112307
427.55,5534.640942
432.55,5475.887547
437.55,5415.745164
442.55,5354.092852
447.55,5290.79294
452.55,5225.687599
457.55,5158.594493
462.55,5089.301233
467.55,5017.558191
472.55,4943.069051
477.55,4865.47815
482.55,4784.353175
487.55,4699.160884
