Clapeyron Estimator,,
[method=saturation_p, species=hexane],
T,out_P,
177.83,1.19E+00,
182.83,2.42E+00,
187.83,4.72E+00,
192.83,8.83E+00,
197.83,1.60E+01,
202.83,2.78E+01,
207.83,4.71E+01,
212.83,7.75E+01,
217.83,124.1258448,
222.83,193.9116994,
227.83,296.0540307,
232.83,442.4414344,
237.83,648.1739864,
242.83,932.0909881,
247.83,1317.310375,
252.83,1831.76721,
257.83,2508.738572,
262.83,3387.342624,
267.83,4513.000734,
272.83,5937.852981,
277.83,7721.119234,
282.83,9929.400007,
287.83,12636.91338,
292.83,15925.6664,
297.83,19885.5612,
302.83,24614.43817,
307.83,30218.05957,
312.83,36810.03875,
317.83,44511.72093,
322.83,53452.0223,
327.83,63767.23469,
332.83,75600.80351,
337.83,89103.08667,
342.83,104431.1022,
347.83,121748.2721,
352.83,141224.1698,
357.83,163034.2779,
362.83,187359.764,
367.83,214387.2794,
372.83,244308.7888,
377.83,277321.4358,
382.83,313627.4523,
387.83,353434.1207,
392.83,396953.8006,
397.83,444404.037,
402.83,496007.7681,
407.83,551993.6472,
412.83,612596.4779,
417.83,678057.7371,
422.83,748626.1451,
427.83,824558.2424,
432.83,906118.9731,
437.83,993582.345,
442.83,1087232.316,
447.83,1187364.12,
452.83,1294286.274,
457.83,1408323.519,
