Clapeyron Estimator,
[method=saturation_rhol, species=hexane]
T,out_rhol
177.83,8801.554295
182.83,8752.324833
187.83,8703.187649
192.83,8654.117198
197.83,8605.089395
202.83,8556.081338
207.83,8507.071086
212.83,8458.037462
217.83,8408.95988
222.83,8359.8182
227.83,8310.592601
232.83,8261.263455
237.83,8211.811232
242.83,8162.216396
247.83,8112.459319
252.83,8062.520193
257.83,8012.378945
262.83,7962.01516
267.83,7911.407999
272.83,7860.536113
277.83,7809.377565
282.83,7757.909738
287.83,7706.109243
292.83,7653.951823
297.83,7601.412244
302.83,7548.46418
307.83,7495.080087
312.83,7441.231061
317.83,7386.886686
322.83,7332.01486
327.83,7276.581597
332.83,7220.550812
337.83,7163.884076
342.83,7106.540326
347.83,7048.475557
352.83,6989.642446
357.83,6929.989937
362.83,6869.462753
367.83,6808.000837
372.83,6745.538696
377.83,6682.004638
382.83,6617.319869
387.83,6551.397437
392.83,6484.140954
397.83,6415.443072
402.83,6345.183601
407.83,6273.227167
412.83,6199.420228
417.83,6123.587205
422.83,6045.525464
427.83,5964.99879
432.83,5881.729024
437.83,5795.385424
442.83,5705.571135
447.83,5611.805712
452.83,5513.501752
457.83,5409.932212
