Clapeyron Estimator,,
[method=saturation_p, species=nonane],
T,out_P,
219.7,4.44E-01,
224.7,8.42E-01,
229.7,1.54E+00,
234.7,2.74E+00,
239.7,4.74E+00,
244.7,7.98E+00,
249.7,1.31E+01,
254.7,2.10E+01,
259.7,3.30E+01,
264.7,5.07E+01,
269.7,7.65E+01,
274.7,113.392069,
279.7,165.1996862,
284.7,236.8574113,
289.7,334.5106548,
294.7,465.7410322,
299.7,639.781587,
304.7,867.7402057,
309.7,1162.827752,
314.7,1540.587247,
319.7,2019.120317,
324.7,2619.307211,
329.7,3365.016831,
334.7,4283.303552,
339.7,5404.587959,
344.7,6762.819109,
349.7,8395.616419,
354.7,10344.38984,
359.7,12654.43746,
364.7,15375.02033,
369.7,18559.41462,
374.7,22264.94191,
379.7,26552.97856,
384.7,31488.94587,
389.7,37142.28251,
394.7,43586.40156,
399.7,50898.63423,
404.7,59160.16279,
409.7,68455.94526,
414.7,78874.63448,
419.7,90508.49441,
424.7,103453.3164,
429.7,117808.338,
434.7,133676.1682,
439.7,151162.7205,
444.7,170377.1584,
449.7,191431.8554,
454.7,214442.3737,
459.7,239527.4647,
464.7,266809.0952,
469.7,296412.5037,
474.7,328466.2927,
479.7,363102.5614,
484.7,400457.0861,
489.7,440669.5576,
494.7,483883.8841,
499.7,530248.5736,
504.7,579917.2111,
509.7,633049.0513,
514.7,689809.7535,
519.7,750372.294,
524.7,814918.104,
529.7,883638.4962,
