Clapeyron Estimator,
[method=saturation_rhol, species=nonane]
T,out_rhol
219.7,6051.956248
224.7,6020.452671
229.7,5989.094856
234.7,5957.867011
239.7,5926.754045
244.7,5895.74149
249.7,5864.815437
254.7,5833.962468
259.7,5803.169597
264.7,5772.42422
269.7,5741.71406
274.7,5711.027122
279.7,5680.351648
284.7,5649.676077
289.7,5618.989003
294.7,5588.279135
299.7,5557.535264
304.7,5526.746225
309.7,5495.900861
314.7,5464.987991
319.7,5433.996371
324.7,5402.914663
329.7,5371.731396
334.7,5340.434933
339.7,5309.013431
344.7,5277.454805
349.7,5245.746683
354.7,5213.876365
359.7,5181.83078
364.7,5149.596431
369.7,5117.159346
374.7,5084.50502
379.7,5051.61835
384.7,5018.48357
389.7,4985.084174
394.7,4951.402831
399.7,4917.421297
404.7,4883.120307
409.7,4848.479463
414.7,4813.477105
419.7,4778.090163
424.7,4742.293994
429.7,4706.062195
434.7,4669.366389
439.7,4632.175978
444.7,4594.457863
449.7,4556.17612
454.7,4517.291616
459.7,4477.761571
464.7,4437.539035
469.7,4396.572275
474.7,4354.804045
479.7,4312.170707
484.7,4268.601181
489.7,4224.01566
494.7,4178.324036
499.7,4131.423955
504.7,4083.198384
509.7,4033.512529
514.7,3982.209899
519.7,3929.107177
524.7,3873.987471
529.7,3816.591236
