Clapeyron Estimator,,
[method=saturation_p, species=octane],
T,out_P,
216.37,2.07E+00,
221.37,3.74E+00,
226.37,6.55E+00,
231.37,1.12E+01,
236.37,1.85E+01,
241.37,2.99E+01,
246.37,4.72E+01,
251.37,7.30E+01,
256.37,110.587757,
261.37,164.4133841,
266.37,240.1225728,
271.37,344.8731143,
276.37,487.5806967,
281.37,679.1932991,
286.37,932.9757997,
291.37,1264.799889,
296.37,1693.43413,
301.37,2240.828902,
306.37,2932.391119,
311.37,3797.24391,
316.37,4868.466956,
321.37,6183.313759,
326.37,7783.402846,
331.37,9714.880686,
336.37,12028.55487,
341.37,14779.99694,
346.37,18029.61494,
351.37,21842.69665,
356.37,26289.4248,
361.37,31444.86649,
366.37,37388.93925,
371.37,44206.35655,
376.37,51986.55619,
381.37,60823.61465,
386.37,70816.15118,
391.37,82067.22508,
396.37,94684.22975,
401.37,108778.7871,
406.37,124466.6459,
411.37,141867.5868,
416.37,161105.3389,
421.37,182307.5085,
426.37,205605.526,
431.37,231134.6122,
436.37,259033.7675,
441.37,289445.7877,
446.37,322517.3098,
451.37,358398.8906,
456.37,397245.1241,
461.37,439214.8007,
466.37,484471.1149,
471.37,533181.9285,
476.37,585520.0974,
481.37,641663.8729,
486.37,701797.3915,
491.37,766111.2708,
496.37,834803.3373,
501.37,908079.5188,
506.37,986154.9545,
511.37,1069255.394,
