Clapeyron Estimator,
[method=saturation_rhol, species=octane]
T,out_rhol
216.37,6682.316662
221.37,6647.848996
226.37,6613.409317
231.37,6578.984238
236.37,6544.561015
241.37,6510.127411
246.37,6475.671591
251.37,6441.18201
256.37,6406.647324
261.37,6372.056306
266.37,6337.397782
271.37,6302.660564
276.37,6267.833402
281.37,6232.904938
286.37,6197.863665
291.37,6162.697893
296.37,6127.395714
301.37,6091.944969
306.37,6056.333214
311.37,6020.547691
316.37,5984.575289
321.37,5948.402509
326.37,5912.015424
331.37,5875.399636
336.37,5838.540228
341.37,5801.421714
346.37,5764.027979
351.37,5726.342221
356.37,5688.346874
361.37,5650.023539
366.37,5611.352889
371.37,5572.314582
376.37,5532.887148
381.37,5493.047869
386.37,5452.772646
391.37,5412.035848
396.37,5370.810135
401.37,5329.066267
406.37,5286.772882
411.37,5243.896239
416.37,5200.399929
421.37,5156.24454
426.37,5111.38727
431.37,5065.781474
436.37,5019.376141
441.37,4972.115278
446.37,4923.937179
451.37,4874.77356
456.37,4824.548528
461.37,4773.177333
466.37,4720.564859
471.37,4666.603771
476.37,4611.17223
481.37,4554.131033
486.37,4495.320008
491.37,4434.553388
496.37,4371.613806
501.37,4306.244365
506.37,4238.137951
511.37,4166.922486
