Clapeyron Estimator,
[method=saturation_p, species=pentane]
T,out_P
143.47,0.078027575
148.47,0.205552838
153.47,0.504586489
158.47,1.162365983
163.47,2.52815729
168.47,5.219815628
173.47,10.27909902
178.47,19.38764532
183.47,35.15461967
188.47,61.48478225
193.47,104.0323573
198.47,170.7415858
203.47,272.4698891
208.47,423.6843385
213.47,643.2173737
218.47,955.0636304
223.47,1389.196852
228.47,1982.384276
233.47,2778.97568
238.47,3831.645417
243.47,5202.068004
248.47,6961.511003
253.47,9191.332647
258.47,11983.37576
263.47,15440.2536
268.47,19675.52721
273.47,24813.77753
278.47,30990.57861
283.47,38352.38088
288.47,47056.315
293.47,57269.92793
298.47,69170.86296
303.47,82946.49537
308.47,98793.53484
313.47,116917.606
318.47,137532.8187
323.47,160861.34
328.47,187132.9817
333.47,216584.8148
338.47,249460.8263
343.47,286011.6278
348.47,326494.2298
353.47,371171.8881
358.47,420314.0337
363.47,474196.2933
368.47,533100.6087
373.47,597315.467
378.47,667136.2527
383.47,742865.7396
388.47,824814.7443
393.47,913302.9699
398.47,1008660.081
403.47,1111227.062
408.47,1221357.939
413.47,1339421.973
418.47,1465806.48
423.47,1600920.55
