Clapeyron Estimator,
[method=saturation_rhol, species=pentane]
T,out_rhol
143.47,10584.35663
148.47,10520.33551
153.47,10456.72458
158.47,10393.46721
163.47,10330.51109
168.47,10267.80771
173.47,10205.31179
178.47,10142.9809
183.47,10080.77495
188.47,10018.65587
193.47,9956.587218
198.47,9894.533873
203.47,9832.461769
208.47,9770.33763
213.47,9708.12874
218.47,9645.802742
223.47,9583.327448
228.47,9520.670663
233.47,9457.800027
238.47,9394.682863
243.47,9331.286032
248.47,9267.575793
253.47,9203.517659
258.47,9139.076262
263.47,9074.215201
268.47,9008.896895
273.47,8943.082412
278.47,8876.731295
283.47,8809.801355
288.47,8742.248445
293.47,8674.026203
298.47,8605.085749
303.47,8535.375351
308.47,8464.840042
313.47,8393.421195
318.47,8321.05604
323.47,8247.67714
328.47,8173.211784
333.47,8097.581315
338.47,8020.700343
343.47,7942.475823
348.47,7862.805965
353.47,7781.578907
358.47,7698.671108
363.47,7613.945361
368.47,7527.248342
373.47,7438.407547
378.47,7347.227457
383.47,7253.484666
388.47,7156.921663
393.47,7057.238778
398.47,6954.083616
403.47,6847.036959
408.47,6735.593608
413.47,6619.135753
418.47,6496.895016
423.47,6367.896661
