Clapeyron Estimator,
[method=saturation_p, species=propane]
T,out_P
85.525,1.72E-04
90.525,1.17E-03
95.525,6.44E-03
100.525,2.94E-02
105.525,1.15E-01
110.525,3.93E-01
115.525,1.19E+00
120.525,3.28E+00
125.525,8.25E+00
130.525,1.92E+01
135.525,4.16E+01
140.525,8.49E+01
145.525,163.9803374
150.525,301.5156804
155.525,530.4623663
160.525,896.8430227
165.525,1462.699034
170.525,2309.048389
175.525,3538.711329
180.525,5278.87021
185.525,7683.251242
190.525,10933.84502
195.525,15242.11597
200.525,20849.68393
205.525,28028.49143
210.525,37080.49476
215.525,48336.9354
220.525,62157.26074
225.525,78927.76866
230.525,99060.05255
235.525,122989.3209
240.525,151172.661
245.525,184087.3112
250.525,222228.9967
255.525,266110.3807
260.525,316259.6735
265.525,373219.4383
270.525,437545.6272
275.525,509806.8837
280.525,590584.1441
285.525,680470.581
290.525,780071.9367
295.525,890007.3125
300.525,1010910.498
305.525,1143431.959
310.525,1288241.642
315.525,1446032.847
320.525,1617527.577
325.525,1803484.067
330.525,2004707.32
