Clapeyron Estimator,
[method=saturation_rhol, species=propane]
T,out_rhol
85.525,16625.80556
90.525,16507.77713
95.525,16390.51906
100.525,16273.93872
105.525,16157.94109
110.525,16042.43025
115.525,15927.31017
120.525,15812.48522
125.525,15697.86048
130.525,15583.34193
135.525,15468.83685
140.525,15354.2543
145.525,15239.50564
150.525,15124.5051
155.525,15009.17016
160.525,14893.42162
165.525,14777.18334
170.525,14660.38163
175.525,14542.94441
180.525,14424.80008
185.525,14305.87639
190.525,14186.09914
195.525,14065.39097
200.525,13943.67007
205.525,13820.84896
210.525,13696.83326
215.525,13571.52067
220.525,13444.7999
225.525,13316.5499
230.525,13186.63899
235.525,13054.92415
240.525,12921.25002
245.525,12785.44765
250.525,12647.33287
255.525,12506.70407
260.525,12363.33939
265.525,12216.9931
270.525,12067.39114
275.525,11914.22561
280.525,11757.14783
285.525,11595.75973
290.525,11429.60283
295.525,11258.14408
300.525,11080.7572
305.525,10896.69763
310.525,10705.06827
315.525,10504.77142
320.525,10294.43946
325.525,10072.33178
330.525,9836.17477
