Clapeyron Estimator,,
[method = saturation_p_rhol],,
T,out_pre,out_rho
257,467.6,17819.57453
264.09,818.85,17693.24075
271.18,1386.7,17565.17043
278.27,2277.4,17435.14649
285.36,3635.5,17302.95187
292.45,5654,17168.80363
299.54,8583.3,17032.26764
306.63,12742,16893.3439
313.72,18527,16751.81534
320.81,26426,16607.68196
327.9,37022,16460.72669
334.99,51009,16310.94954
342.08,69194,16157.69928
349.17,92508,16001.19301
356.26,122010,15840.99657
363.34,158880,15676.67583
370.43,204450,15508.44787
377.52,260150,15335.22733
384.61,327580,15157.23128
391.7,408430,14973.80853
398.79,504530,14784.30787
405.88,617810,14588.29515
412.97,750320,14384.90212
420.06,904190,14173.26048
427.15,1081700,13952.50197
434.24,1285000,13720.89005
441.33,1516600,13477.55644
448.42,1778900,13219.67924
455.51,2074400,12945.30486
462.6,2405500,12650.52604
