Clapeyron Estimator,,
[method = saturation_p_rhol],,
T,out_pre,out_rho
270.1,1254.9,7033.197162
277.55,1979.8,6972.619492
285,3035.8,6911.443032
292.45,4535.6,6849.468184
299.9,6616.6,6786.794747
307.36,9443,6723.223123
314.81,13208,6658.853112
322.26,18134,6593.485116
329.71,24473,6527.218934
337.16,32511,6459.954767
344.61,42559,6391.592817
352.06,54962,6322.033286
359.51,70093,6251.276173
366.96,88351,6179.22168
374.41,110160,6105.869807
381.87,135980,6030.921158
389.32,166280,5954.375734
396.77,201550,5876.133736
404.22,242330,5795.895768
411.67,289150,5713.661831
419.12,342570,5629.232328
426.57,403190,5542.208065
434.02,471590,5452.489243
441.47,548410,5359.676669
448.92,634310,5263.371148
456.38,729950,5163.173487
463.83,836040,5058.385097
471.28,953300,4948.407187
478.73,1082500,4832.241771
486.18,1224500,4708.491672
