Clapeyron Estimator,,
[method = saturation_P_and_rho, species = hexane],,
T,out_pre,out_rho
252.83,0.0018318e6,8062.5
257.83,0.0025087e6,8012.4
262.83,0.0033873e6,7962.0
267.83,0.0045130e6,7911.4
272.83,0.0059379e6,7860.5
277.83,0.0077211e6,7809.4
282.83,0.0099294e6,7757.9
287.83,0.012637e6,7706.1
292.83,0.015926e6,7654.0
297.83,0.019886e6,7601.4
302.83,0.024614e6,7548.5
307.83,0.030218e6,7495.1
312.83,0.036810e6,7441.2
317.83,0.044512e6,7386.9
322.83,0.053452e6,7332.0
327.83,0.063767e6,7276.6
332.83,0.075601e6,7220.6
337.83,0.089103e6,7163.9
342.83,0.10443e6,7106.5
347.83,0.12175e6,7048.5
352.83,0.14122e6,6989.6
357.83,0.16303e6,6930.0
362.83,0.18736e6,6869.5
367.83,0.21439e6,6808.0
372.83,0.24431e6,6745.5
377.83,0.27732e6,6682.0
382.83,0.31363e6,6617.3
387.83,0.35343e6,6551.4
392.83,0.39695e6,6484.1
397.83,0.44440e6,6415.4
402.83,0.49601e6,6345.2
407.83,0.55199e6,6273.2
412.83,0.61260e6,6199.4
417.83,0.67806e6,6123.6
422.83,0.74863e6,6045.5
427.83,0.82456e6,5965.0
432.83,0.90612e6,5881.7
437.83,0.99358e6,5795.4
442.83,1.0872e6,5705.6
447.83,1.1874e6,5611.8
452.83,1.2943e6,5513.5
457.83,1.4083e6,5409.9
462.83,1.5298e6,5300.2
467.83,1.6591e6,5183.1
