Clapeyron Estimator,,,
[method = bubble_point,species=methanol hexane],,
p,x,out_T,out_y
141300,0.006,346.6,0.181
141300,0.009,343.75,0.255
141300,0.016,340.21,0.333
141300,0.025,337.17,0.4
141300,0.03,335.8,0.429
141300,0.046,334.24,0.455
141300,0.095,332.7,0.48
141300,0.191,331.83,0.504
141300,0.281,331.59,0.509
141300,0.38,331.52,0.511
141300,0.481,331.52,0.513
141300,0.558,331.52,0.515
141300,0.65,331.53,0.516
141300,0.741,331.59,0.519
141300,0.776,331.66,0.519
141300,0.822,331.84,0.528
141300,0.855,332.15,0.536
141300,0.909,333.07,0.57
141300,0.94,334.37,0.612
141300,0.968,338.48,0.718
141300,0.981,341.23,0.791
141300,0.99,343.53,0.883
