Clapeyron Estimator,,,
[method = bubble_point],,,
T,x,out_pre,out_y
343.15,0,105125,0
343.15,0.025,161151,0.34673
343.15,0.05,183790,0.43075
343.15,0.075,194383,0.46487
343.15,0.1,200400,0.48247
343.15,0.15,205692,0.50046
343.15,0.2,208514,0.51026
343.15,0.25,210200,0.51691
343.15,0.3,211261,0.52182
343.15,0.35,211918,0.52555
343.15,0.4,212304,0.5284
343.15,0.45,212511,0.53062
343.15,0.5,212602,0.53243
343.15,0.55,212614,0.53403
343.15,0.6,212555,0.53569
343.15,0.65,212396,0.53772
343.15,0.7,212053,0.54058
343.15,0.75,211341,0.54501
343.15,0.8,209860,0.55247
343.15,0.85,206676,0.56624
343.15,0.9,199354,0.59518
343.15,0.95,180601,0.67094
343.15,0.975,160581,0.76525
343.15,1,124643,1
