Clapeyron Estimator,,
[method = saturation_p_rhol],,
T,out_pre,out_rho
256.25,1227.5,25842.33194
263.32,2043.4,25646.96336
270.39,3298.7,25449.09806
277.46,5177.4,25248.11185
284.53,7919,25044.62892
291.59,11828,24837.713
298.66,17284,24627.67618
305.73,24752,24413.89426
312.8,34790,24196.67936
319.87,48061,23975.71937
326.94,65340,23750.39011
334.01,87520,23521.00368
341.08,115620,23286.9359
348.15,150800,23047.87466
355.22,194340,22803.5079
362.28,247670,22553.21141
369.35,312370,22296.98521
376.42,390180,22034.20511
383.49,482960,21764.24693
390.56,592760,21486.48649
397.63,721770,21199.98752
404.7,872350,20903.81374
411.77,1047000,20597.34099
418.84,1248500,20279.0088
425.91,1479700,19947.25673
432.97,1743600,19600.52431
440.04,2043500,19236.62693
447.11,2382900,18852.13158
454.18,2765500,18443.60527
461.25,3195300,18006.36664
