z1,z2,z3,gibbs_e_mix,gibbs_e_mix_RT
0.0,0.0,1.0,0.0008174531976692379,3.2433611051136425e-7
0.0,0.02,0.98,-243.27294833432097,-0.09652198080618624
0.0,0.04,0.96,-414.99503973128594,-0.16465514778304904
0.0,0.06,0.94,-558.6641387294949,-0.22165789350917878
0.0,0.08,0.92,-683.5205069779477,-0.2711964224007903
0.0,0.1,0.9,-793.9491335113853,-0.31501054083728
0.0,0.12,0.88,-892.5302855103873,-0.3541240062934677
0.0,0.14,0.86,-980.9671940874905,-0.389212599787664
0.0,0.16,0.84,-1060.4692115656871,-0.42075614894767127
0.0,0.18,0.82,-1131.9397714546285,-0.4491131037880733
0.0,0.2,0.8,-1196.0796499647113,-0.4745615071755037
0.0,0.22,0.78,-1253.4484874802656,-0.49732340434271266
0.0,0.24,0.76,-1304.5037576898176,-0.5175803044418092
0.0,0.26,0.74,-1349.6266671216217,-0.5354834565510626
0.0,0.28,0.72,-1389.1400493823676,-0.5511609494670358
0.0,0.3,0.7,-1423.321130366552,-0.5647227764818346
0.0,0.32,0.68,-1452.410881930402,-0.5762645465854467
0.0,0.34,0.66,-1476.6210330901886,-0.5858702662577729
0.0,0.36,0.64,-1496.139427800459,-0.5936144652428703
0.0,0.38,0.62,-1511.1341867005103,-0.59956384778069
0.0,0.4,0.6,-1521.7569840274882,-0.6037785927686674
0.0,0.42,0.58,-1528.1456557464626,-0.6063133885741938
0.0,0.44,0.56,-1530.426291216143,-0.607218262932554
0.0,0.46,0.54,-1528.7149167976422,-0.6065392509425003
0.0,0.48,0.52,-1523.1188486425563,-0.6043189318040442
0.0,0.5,0.5,-1513.737768993342,-0.6005968558558447
0.0,0.52,0.48,-1500.664562761227,-0.595409876499318
0.0,0.54,0.46,-1483.985936894489,-0.5887923959417571
0.0,0.56,0.44,-1463.7828326272975,-0.5807765287618875
0.0,0.58,0.42,-1440.1306288930864,-0.5713921826169961
0.0,0.6,0.4,-1413.099122871994,-0.5606670505248551
0.0,0.62,0.38,-1382.7522596104463,-0.5486265035864686
0.0,0.64,0.36,-1349.1475654173228,-0.5352933661779933
0.0,0.66,0.34,-1312.3352172957675,-0.520687546734656
0.0,0.68,0.32,-1272.3566500860907,-0.5048254851150129
0.0,0.7,0.3,-1229.2425598162044,-0.48771936040201275
0.0,0.72,0.28,-1183.0100989120292,-0.46937597806308134
0.0,0.74,0.26,-1133.6589648394274,-0.4497952180635234
0.0,0.76,0.24,-1081.1659388230128,-0.42896786802601744
0.0,0.78,0.22,-1025.4772011117766,-0.40687257420363254
0.0,0.8,0.2,-966.4973710077411,-0.38347149295628247
0.0,0.82,0.18,-904.0735734900009,-0.35870396895860285
0.0,0.84,0.16,-837.971677889851,-0.3324771075584524
0.0,0.86,0.14,-767.8396688434841,-0.30465124168466057
0.0,0.88,0.12,-693.1486945727238,-0.27501654191915204
0.0,0.9,0.1,-613.0926364250163,-0.24325316929239868
0.0,0.92,0.08,-526.4032773665076,-0.20885794077053724
0.0,0.94,0.06,-430.9706119663556,-0.17099368187489608
0.0,0.96,0.04,-322.91901423196305,-0.12812268321266865
0.0,0.98,0.02,-193.5609816811334,-0.07679805538007342
0.0,1.0,0.0,0.0012128837770433165,4.812287821127764e-7
0.02,0.0,0.98,-221.39026002807805,-0.08783971491865207
0.02,0.02,0.96,-461.62851595620305,-0.18315763861865736
0.02,0.04,0.94,-630.2701351532523,-0.250068584709104
0.02,0.06,0.92,-770.8132228077593,-0.30583104124984484
0.02,0.08,0.9,-892.4974683247201,-0.35411098561119797
0.02,0.1,0.88,-999.7072937483463,-0.3966479992110529
0.02,0.12,0.86,-1095.0224051563491,-0.43446561689873564
0.02,0.14,0.84,-1180.1454789879426,-0.4682393996180759
0.02,0.16,0.82,-1256.2853197317745,-0.4984489576358565
0.02,0.18,0.8,-1324.3448201281062,-0.5254525264087622
0.02,0.2,0.78,-1385.024222660897,-0.5495279370399186
0.02,0.22,0.76,-1438.88264068048,-0.5708970256538882
0.02,0.24,0.74,-1486.3770267530563,-0.5897410946401317
0.02,0.26,0.72,-1527.8880708573633,-0.6062111881285963
0.02,0.28,0.7,-1563.738092565909,-0.6204351909655176
0.02,0.3,0.68,-1594.2038032762648,-0.6325228923090743
0.02,0.32,0.66,-1619.525655731275,-0.6425696951836822
0.02,0.34,0.64,-1639.914849566485,-0.6506593960299563
0.02,0.36,0.62,-1655.5586815326824,-0.6568663074811276
0.02,0.38,0.6,-1666.6246972644512,-0.6612569056359001
0.02,0.4,0.58,-1673.2639551335378,-0.663891125038407
0.02,0.42,0.56,-1675.6136173931955,-0.6648233867513534
0.02,0.44,0.54,-1673.7990198468142,-0.6641034195263003
0.02,0.46,0.52,-1667.9353270458414,-0.6617769165268337
0.02,0.48,0.5,-1658.1288484297183,-0.6578860575256885
0.02,0.5,0.48,-1644.478067356049,-0.6524699171870125
0.02,0.52,0.46,-1627.07441664215,-0.645564772773438
0.02,0.54,0.44,-1606.00281895624,-0.6372043185539249
0.02,0.56,0.42,-1581.3419965525864,-0.6274197886955576
0.02,0.58,0.4,-1553.1645410618585,-0.6162399849538543
0.02,0.6,0.38,-1521.5367189446843,-0.6036911994837163
0.02,0.62,0.36,-1486.5179701955603,-0.5897970159431178
0.02,0.64,0.34,-1448.1600348546563,-0.5745779629243184
0.02,0.66,0.32,-1406.5056108686986,-0.5580509814411984
0.02,0.68,0.3,-1361.5864033408652,-0.5402286509415809
0.02,0.7,0.28,-1313.4203621290071,-0.5211180932852817
0.02,0.72,0.26,-1262.007810498928,-0.5007194367325776
0.02,0.74,0.24,-1207.3260224942296,-0.4790236644390462
0.02,0.76,0.22,-1149.3215764321412,-0.45600958059695673
0.02,0.78,0.2,-1087.899433640292,-0.43163947726971685
0.02,0.8,0.18,-1022.9070451578955,-0.40585282850092297
0.02,0.82,0.16,-954.1106327692905,-0.37855687947916083
0.02,0.84,0.14,-881.1586055599873,-0.3496121315395259
0.02,0.86,0.12,-803.5226580906465,-0.3188089720315988
0.02,0.88,0.1,-720.3973952786482,-0.28582784907245007
0.02,0.9,0.08,-630.5155629898418,-0.2501659616722838
0.02,0.92,0.06,-531.7684283783151,-0.21098664026848676
0.02,0.94,0.04,-420.28202807373145,-0.16675283513713476
0.02,0.96,0.02,-287.37100463964407,-0.11401850795166671
0.02,0.98,0.0,-90.14036517318164,-0.035764463976289074
0.04,0.0,0.96,-371.04419036170293,-0.1472170270700278
0.04,0.02,0.94,-608.2048587121317,-0.2413138743982553
0.04,0.04,0.92,-773.7232514214265,-0.30698563623427294
0.04,0.06,0.9,-911.0969045888196,-0.3614905748437095
0.04,0.08,0.88,-1029.5649446885727,-0.4084944442461574
0.04,0.1,0.86,-1133.5112377394762,-0.4497366052485611
0.04,0.12,0.84,-1225.5149413664985,-0.48624037509386886
0.04,0.14,0.82,-1307.278191677673,-0.518681100341877
0.04,0.16,0.8,-1380.0092613335291,-0.5475381802490453
0.04,0.18,0.78,-1444.6105199002632,-0.5731696426953534
0.04,0.2,0.76,-1501.781695184327,-0.595853114578351
0.04,0.22,0.74,-1552.081393789318,-0.6158102309636707
0.04,0.24,0.72,-1595.9660683663606,-0.6332220958924003
0.04,0.26,0.7,-1633.8159140210264,-0.6482395571465638
0.04,0.28,0.68,-1665.9527578151537,-0.6609903041618271
0.04,0.3,0.66,-1692.652817178292,-0.6715839301075743
0.04,0.32,0.64,-1714.1560441500696,-0.6801156393471428
0.04,0.34,0.62,-1730.673123789209,-0.6866690241555199
0.04,0.36,0.6,-1742.390814885388,-0.6913181837222626
0.04,0.38,0.58,-1749.4760891913684,-0.6941293664503503
0.04,0.4,0.56,-1752.0793788771552,-0.695162258429524
0.04,0.42,0.54,-1750.3371463357726,-0.694471003043051
0.04,0.44,0.52,-1744.3739261801493,-0.6921050111588521
0.04,0.46,0.5,-1734.3039446240364,-0.6881096036417697
0.04,0.48,0.48,-1720.2323892866007,-0.6825265151664879
0.04,0.5,0.46,-1702.2563782394573,-0.6753942787006408
0.04,0.52,0.44,-1680.4656577584356,-0.6667485023476873
0.04,0.54,0.42,-1654.9430415413044,-0.6566220436127519
0.04,0.56,0.4,-1625.764588334412,-0.6450450798785046
0.04,0.58,0.38,-1592.999498342666,-0.6320450673043563
0.04,0.6,0.36,-1556.709689708532,-0.617646572788516
0.04,0.62,0.34,-1516.9489925333,-0.6018709541845345
0.04,0.64,0.32,-1473.7618663189896,-0.5847358514282536
0.04,0.66,0.3,-1427.1815027806697,-0.5662544338017768
0.04,0.68,0.28,-1377.2271125847183,-0.5464343234085238
0.04,0.7,0.26,-1323.9001000866865,-0.5252760774464096
0.04,0.72,0.24,-1267.1786849369764,-0.5027710542538755
0.04,0.74,0.22,-1207.010299062922,-0.4788983967050652
0.04,0.76,0.2,-1143.3007091796662,-0.453620716412266
0.04,0.78,0.18,-1075.898168567448,-0.4268778057195407
0.04,0.8,0.16,-1004.5697455102927,-0.3985772456761905
0.04,0.82,0.14,-928.964790659862,-0.36857991119699024
0.04,0.84,0.12,-848.5560905747088,-0.3366766228971189
0.04,0.86,0.1,-762.53955379735,-0.3025483461253463
0.04,0.88,0.08,-669.6495099018302,-0.2656929082504881
0.04,0.9,0.06,-567.7791671837354,-0.22527440988525754
0.04,0.92,0.04,-453.05694898236743,-0.17975674826651467
0.04,0.94,0.02,-316.8004312688604,-0.1256950489386184
0.04,0.96,0.0,-116.11821797636003,-0.04607154426130475
0.06,0.0,0.94,-492.4695496800414,-0.19539425467283658
0.06,0.02,0.92,-726.5104025192486,-0.2882532710997872
0.06,0.04,0.9,-888.8626878431533,-0.3526688350791365
0.06,0.06,0.88,-1023.0233833673192,-0.4058989873299005
0.06,0.08,0.86,-1138.231065142034,-0.45160926348317965
0.06,0.1,0.84,-1238.86905751835,-0.4915388094315874
0.06,0.12,0.82,-1327.515985902428,-0.5267107312527372
0.06,0.14,0.8,-1405.8734641740666,-0.5578001683049918
0.06,0.16,0.78,-1475.149253085423,-0.5852863167379287
0.06,0.18,0.76,-1536.245220655619,-0.6095270054356365
0.06,0.2,0.74,-1589.8606031610543,-0.6307996662741695
0.06,0.22,0.72,-1636.5535248405213,-0.6493257429341054
0.06,0.24,0.7,-1676.7799636317068,-0.6652861511072663
0.06,0.26,0.68,-1710.9196452068936,-0.6788315523213831
0.06,0.28,0.66,-1739.2939289991555,-0.6900894504738001
0.06,0.3,0.64,-1762.178561720888,-0.6991692519702168
0.06,0.32,0.62,-1779.8130148984928,-0.7061659705235565
0.06,0.34,0.6,-1792.4074742529629,-0.7111630002895041
0.06,0.36,0.58,-1800.1481684155224,-0.7142342301097566
0.06,0.38,0.56,-1803.2014923666575,-0.7154456795447408
0.06,0.4,0.54,-1801.7172342316917,-0.7148567791503668
0.06,0.42,0.52,-1795.8311181788486,-0.712521379408778
0.06,0.44,0.5,-1785.6668114582935,-0.708488547049459
0.06,0.46,0.48,-1771.3374984145375,-0.7028031895609046
0.06,0.48,0.46,-1752.9470913974365,-0.6955065356366747
0.06,0.5,0.44,-1730.591123248163,-0.6866364892818189
0.06,0.52,0.42,-1704.3573452651362,-0.6762278670643102
0.06,0.54,0.4,-1674.3260358817824,-0.6643125205873103
0.06,0.56,0.38,-1640.5700066882891,-0.6509193388783856
0.06,0.58,0.36,-1603.1542718791352,-0.636074117238142
0.06,0.6,0.34,-1562.1353223330261,-0.6197992692211794
0.06,0.62,0.32,-1517.5599131589297,-0.6021133455778435
0.06,0.64,0.3,-1469.4632290425143,-0.5830303063294927
0.06,0.66,0.28,-1417.8662279123455,-0.5625584668305166
0.06,0.68,0.26,-1362.7718686594144,-0.5406990010627385
0.06,0.7,0.24,-1304.1597832197676,-0.5174438277088913
0.06,0.72,0.22,-1241.9787228226432,-0.49277261309479686
0.06,0.74,0.2,-1176.1357297586856,-0.4666484749353525
0.06,0.76,0.18,-1106.4803395641175,-0.43901171432780656
0.06,0.78,0.16,-1032.7809621734305,-0.4097704446402464
0.06,0.8,0.14,-954.6884055008668,-0.3787861189769734
0.06,0.82,0.12,-871.6770899760422,-0.3458502062146048
0.06,0.84,0.1,-782.9448017910627,-0.3106444166859247
0.06,0.86,0.08,-687.2280668512558,-0.2726674491852293
0.06,0.88,0.06,-582.422692875271,-0.2310844356830741
0.06,0.9,0.04,-464.6602016813222,-0.18436050278162297
0.06,0.92,0.02,-325.26187668156444,-0.12905224700486304
0.06,0.94,0.0,-121.34076487351922,-0.04814366356112206
0.08,0.0,0.92,-594.9176072631599,-0.23604196957650703
0.08,0.02,0.9,-825.796324160423,-0.3276463638731111
0.08,0.04,0.88,-984.939557012236,-0.3907886909256337
