branch,x_acetonitrile,x_palmitic_acid
left,0.0,0.05358841832480134
left,0.009528106424200928,0.05671746400410817
left,0.018991848106847637,0.059903518711042054
left,0.028389820606478034,0.06313591998622482
left,0.03772107335728232,0.06640343440726257
left,0.04698512989972972,0.06969442798535147
left,0.05618199716634322,0.07299704675533686
left,0.0653121636625437,0.07629939962973908
left,0.07437658702591961,0.07958973555424495
left,0.08337667203292963,0.0828566076377742
left,0.09231424059233792,0.08608901813585461
right,0.965841564068872,0.003975887053975795
right,0.976363742793609,0.003505046014770153
right,0.9868472383381061,0.0030828918829337833
right,0.9972948987065893,0.0027051012934107585
