Clapeyron Database File,,,,,,,,,,
SaftVRMie Assoc Parameters [csvtype = assoc,grouptype = SAFTgammaMie],,,,,,,,,
species1,site1,species2,site2,epsilon_assoc,bondvol,source,,,,
aCH,e1,H2O,H,563.56,3.40E-28,,,,,
aCH,e1,aCCOOH,H,3961.5,2.34E-32,,,,,
aCCH2,e1,H2O,H,563.56,3.40E-28,,,,,
aCCH2,e1,aCCOOH,H,3961.5,2.34E-32,,,,,
aCCH,e1,H2O,H,563.56,3.40E-28,,,,,
COOH,e1,COOH,H,6427.9,8.06E-31,,,,,
COOH,e1,H2O,H,1451.8,2.81E-28,,,,,
COOH,e2,H2O,H,1252.6,1.51E-28,,,,,
COOH,H,H2O,e1,2567.7,2.70E-28,,,,,
COOH,e1,CH2OH,H,1062.1,2.11E-28,,,,,
COOH,e2,CH2OH,H,997.89,2.27E-28,,,,,
COOH,H,CH2OH,e1,3238.4,3.61E-29,,,,,
CH3COCH3,H,CH3COCH3,e1,980.2,2.87E-27,,,,,
CH3COCH3,e1,H2O,H,1588.7,7.73E-28,,,,,
CH3COCH3,e2,H2O,H,417.24,1.30E-27,,,,,
CH3COCH3,H,H2O,e1,1386.8,1.89E-28,,,,,
CH3COCH3,e1,OH,H,1492.9,9.86E-28,,,,,
CH3COCH3,H,OH,e1,1177.4,3.24E-28,,,,,
CH3COCH3,e1,CH2OH,H,1844.8,9.92E-28,,,,,
CH3COCH3,H,CH2OH,e1,686.93,5.86E-28,,,,,
CH3COCH3,e1,CHOH,H,1323.1,6.35E-28,,,,,
CH3COCH3,H,CHOH,e1,1186.9,7.31E-28,,,,,
CH3COCH3,e1,aCOH,H,2162.2,9.36E-28,,,,,
CH3COCH3,H,aCOH,e1,1053.1,5.00E-28,,,,,
CH3COCH3,e1,aCCOOH,H,2732.9,4.78E-28,,,,,
CH3COCH3,e1,aCNHaC,H,2208.9,7.51E-28,,,,,
COO,e1,H2O,H,1245.8,4.55E-28,,,,,
COO,e1,OH,H,1920.1,1.15E-28,,,,,
COO,e1,aCCOOH,H,1772.3,9.45E-28,,,,,
H2O,H,H2O,e1,1985.4,1.02E-28,,,,,
H2O,e1,CH3OH,H,1993.5,1.04E-28,,,,,
H2O,H,CH3OH,e1,1993.5,1.04E-28,,,,,
H2O,e1,CO2,e1,1398.1,9.14E-29,,,,,
H2O,e1,OH,H,500,1.38E-27,,,,,
H2O,H,OH,e1,2225.6,1.15E-28,,,,,
H2O,e1,CH2OH,H,621.68,4.25E-28,,,,,
H2O,H,CH2OH,e1,2153.2,1.47E-28,,,,,
H2O,e1,CHOH,H,2289.1,6.38E-29,,,,,
